train,epoch,loss,top-1,top-5,lr,,val,epoch,loss,top-1,top-5
,,,,,,,,,,,
,0,2.059821768,38.90557098,72.41408539,0.1,,,0,1.322637448,61.89940262,93.50601196
,,,,,,,,,,,
,1,0.530797633,82.7702713,98.45679474,0.1,,,1,0.445417996,86.82432556,98.94895172
,,,,,,,,,,,
,2,0.259720096,91.29129028,99.62879944,0.1,,,2,0.270316747,91.4414444,99.32432556
,,,,,,,,,,,
,3,0.14987865,94.89072418,99.84568024,0.099,,,3,0.144829239,95.75826263,99.66216278
,,,,,,,,,,,
,4,0.121600333,95.85836029,99.92075348,0.099,,,4,0.150499445,96.65916443,99.84985352
,,,,,,,,,,,
,5,0.081784395,97.22222137,99.94995117,0.099,,,5,0.13194366,96.43393707,99.6996994
,,,,,,,,,,,
,6,0.079380246,97.33900452,99.92492676,0.09801,,,6,0.099900188,97.14714813,99.88739014
,,,,,,,,,,,
,7,0.055590482,98.09392548,99.97080231,0.09801,,,7,0.088543489,96.95946503,99.77478027
,,,,,,,,,,,
,8,0.056950461,98.19819641,99.96246338,0.09801,,,8,0.058788246,98.34835052,99.77478027
,,,,,,,,,,,
,9,0.042707258,98.57357788,99.97914886,0.0970299,,,9,0.078383722,97.71021271,99.92492676
,,,,,,,,,,,
,10,0.031286513,98.94895172,99.97914886,0.0970299,,,10,0.051827788,98.57357788,99.88739014
,,,,,,,,,,,
,11,0.034198505,98.87804413,99.99583435,0.0970299,,,11,0.043491642,98.68618774,99.84985352
,,,,,,,,,,,
,12,0.035000343,98.89055634,99.99166107,0.096059601,,,12,0.038053996,98.94895172,99.88739014
,,,,,,,,,,,
,13,0.023320074,99.27427673,99.99166107,0.096059601,,,13,0.035104625,99.43694305,99.88739014
,,,,,,,,,,,
,14,0.027043207,99.13663483,99.98331451,0.096059601,,,14,0.050135882,98.76126099,99.84985352
,,,,,,,,,,,
,15,0.032129408,98.92809296,99.99583435,0.095099005,,,15,0.032774532,99.3993988,99.88739014
,,,,,,,,,,,
,16,0.015766677,99.47447968,100,0.095099005,,,16,0.040339209,99.17417908,99.88739014
,,,,,,,,,,,
,17,0.019974805,99.34101105,100,0.095099005,,,17,0.049205479,98.34835052,99.88739014
,,,,,,,,,,,
,18,0.014671132,99.55371857,99.99583435,0.094148015,,,18,0.023241975,99.43694305,99.92492676
,,,,,,,,,,,
,19,0.009980962,99.67467499,100,0.094148015,,,19,0.02401035,99.58708954,99.88739014
,,,,,,,,,,,
,20,0.020058063,99.35352325,99.99583435,0.094148015,,,20,0.033587147,99.13664246,99.88739014
,,,,,,,,,,,
,21,0.017613763,99.43276978,100,0.093206535,,,21,0.045887465,98.9114151,99.88739014
,,,,,,,,,,,
,22,0.017884684,99.3868866,100,0.093206535,,,22,0.035683265,99.09909821,99.92492676
,,,,,,,,,,,
,23,0.013189917,99.59126282,100,0.093206535,,,23,0.018540194,99.5120163,99.92492676
,,,,,,,,,,,
,24,0.008354238,99.7414093,99.99583435,0.092274469,,,24,0.016852155,99.66216278,99.92492676
